ano_eleicao,nr_turno,nr_turno_str,codigo_uf,sg_uf,nm_uf,regiao,cand_partido_1,cand_partido_2,candidato_1,candidato_2,partido_1,partido_2,situacao_1,situacao_2,votos_1,votos_2,votos_total,perc_1,perc_2,diferenca_pp,diferenca_absoluta,qtd_elei_2022,perc_elei_2022,perc_elei_2022_opacity,qtd_elei_2022_str,perc_elei_2022_str
2002,2,2º turno,15,PA,Pará,Região Norte,Lula (PT),José Serra (PSDB),Lula,José Serra,PT,PSDB,Eleito,Não eleito,1.317.472 votos,1.184.624 votos,2.502.096 votos,"52,65","47,35","+5,3 p.p.", +132.848 votos,6.082.312,"3,89%",3.89,A UF tem 6.082.312 eleitores em 2022,"Isso equivale a 3,89% dos eleitores do Brasil"
2002,1,1º turno,15,PA,Pará,Região Norte,Lula (PT),José Serra (PSDB),Lula,José Serra,PT,PSDB,2º turno,2º turno,1.070.416 votos,673.488 votos,2.532.141 votos,"42,27","26,6","+15,67 p.p.", +396.928 votos,6.082.312,"3,89%",3.89,A UF tem 6.082.312 eleitores em 2022,"Isso equivale a 3,89% dos eleitores do Brasil"
2006,1,1º turno,15,PA,Pará,Região Norte,Lula (PT),Geraldo Alckmin (PSDB),Lula,Geraldo Alckmin,PT,PSDB,2º turno,2º turno,1.631.569 votos,1.310.437 votos,3.150.676 votos,"51,78","41,59","+10,19 p.p.", +321.132 votos,6.082.312,"3,89%",3.89,A UF tem 6.082.312 eleitores em 2022,"Isso equivale a 3,89% dos eleitores do Brasil"
2006,2,2º turno,15,PA,Pará,Região Norte,Lula (PT),Geraldo Alckmin (PSDB),Lula,Geraldo Alckmin,PT,PSDB,Eleito,Não eleito,1.840.154 votos,1.220.564 votos,3.060.718 votos,"60,12","39,88","+20,24 p.p.", +619.590 votos,6.082.312,"3,89%",3.89,A UF tem 6.082.312 eleitores em 2022,"Isso equivale a 3,89% dos eleitores do Brasil"
2010,2,2º turno,15,PA,Pará,Região Norte,Dilma (PT),José Serra (PSDB),Dilma,José Serra,PT,PSDB,2º turno,2º turno,1.791.443 votos,1.576.154 votos,3.367.597 votos,"53,2","46,8","+6,4 p.p.", +215.289 votos,6.082.312,"3,89%",3.89,A UF tem 6.082.312 eleitores em 2022,"Isso equivale a 3,89% dos eleitores do Brasil"
2010,1,1º turno,15,PA,Pará,Região Norte,Dilma (PT),José Serra (PSDB),Dilma,José Serra,PT,PSDB,2º turno,2º turno,1.699.799 votos,1.336.887 votos,3.546.584 votos,"47,93","37,7","+10,23 p.p.", +362.912 votos,6.082.312,"3,89%",3.89,A UF tem 6.082.312 eleitores em 2022,"Isso equivale a 3,89% dos eleitores do Brasil"
2014,2,2º turno,15,PA,Pará,Região Norte,Dilma (PT),Aécio Neves (PSDB),Dilma,Aécio Neves,PT,PSDB,Eleito,Não eleito,2.104.151 votos,1.561.066 votos,3.665.217 votos,"57,41","42,59","+14,82 p.p.", +543.085 votos,6.082.312,"3,89%",3.89,A UF tem 6.082.312 eleitores em 2022,"Isso equivale a 3,89% dos eleitores do Brasil"
2014,1,1º turno,15,PA,Pará,Região Norte,Dilma (PT),Aécio Neves (PSDB),Dilma,Aécio Neves,PT,PSDB,2º turno,2º turno,2.040.981 votos,1.058.334 votos,3.838.783 votos,"53,17","27,57","+25,6 p.p.", +982.647 votos,6.082.312,"3,89%",3.89,A UF tem 6.082.312 eleitores em 2022,"Isso equivale a 3,89% dos eleitores do Brasil"
2018,1,1º turno,15,PA,Pará,Região Norte,Fernando Haddad (PT),Jair Bolsonaro (PSL),Fernando Haddad,Jair Bolsonaro,PT,PSL,2º turno,2º turno,1.714.822 votos,1.499.294 votos,4.142.735 votos,"41,39","36,19","+5,2 p.p.", +215.528 votos,6.082.312,"3,89%",3.89,A UF tem 6.082.312 eleitores em 2022,"Isso equivale a 3,89% dos eleitores do Brasil"
2018,2,2º turno,15,PA,Pará,Região Norte,Fernando Haddad (PT),Jair Bolsonaro (PSL),Fernando Haddad,Jair Bolsonaro,PT,PSL,Não eleito,Eleito,2.112.769 votos,1.742.188 votos,3.854.957 votos,"54,81","45,19","+9,62 p.p.", +370.581 votos,6.082.312,"3,89%",3.89,A UF tem 6.082.312 eleitores em 2022,"Isso equivale a 3,89% dos eleitores do Brasil"
2002,2,2º turno,25,PB,Paraíba,Região Nordeste,Lula (PT),José Serra (PSDB),Lula,José Serra,PT,PSDB,Eleito,Não eleito,984.944 votos,742.486 votos,1.727.430 votos,"57,02","42,98","+14,04 p.p.", +242.458 votos,3.091.684,"1,98%",1.98,A UF tem 3.091.684 eleitores em 2022,"Isso equivale a 1,98% dos eleitores do Brasil"
2002,1,1º turno,25,PB,Paraíba,Região Nordeste,Lula (PT),José Serra (PSDB),Lula,José Serra,PT,PSDB,2º turno,2º turno,754.329 votos,466.346 votos,1.579.200 votos,"47,77","29,53","+18,24 p.p.", +287.983 votos,3.091.684,"1,98%",1.98,A UF tem 3.091.684 eleitores em 2022,"Isso equivale a 1,98% dos eleitores do Brasil"
2006,1,1º turno,25,PB,Paraíba,Região Nordeste,Lula (PT),Geraldo Alckmin (PSDB),Lula,Geraldo Alckmin,PT,PSDB,2º turno,2º turno,1.258.341 votos,537.042 votos,1.926.654 votos,"65,31","27,87","+37,44 p.p.", +721.299 votos,3.091.684,"1,98%",1.98,A UF tem 3.091.684 eleitores em 2022,"Isso equivale a 1,98% dos eleitores do Brasil"
2006,2,2º turno,25,PB,Paraíba,Região Nordeste,Lula (PT),Geraldo Alckmin (PSDB),Lula,Geraldo Alckmin,PT,PSDB,Eleito,Não eleito,1.478.378 votos,492.524 votos,1.970.902 votos,"75,01","24,99","+50,02 p.p.", +985.854 votos,3.091.684,"1,98%",1.98,A UF tem 3.091.684 eleitores em 2022,"Isso equivale a 1,98% dos eleitores do Brasil"
2010,2,2º turno,25,PB,Paraíba,Região Nordeste,Dilma (PT),José Serra (PSDB),Dilma,José Serra,PT,PSDB,2º turno,2º turno,1.229.391 votos,767.919 votos,1.997.310 votos,"61,55","38,45","+23,1 p.p.", +461.472 votos,3.091.684,"1,98%",1.98,A UF tem 3.091.684 eleitores em 2022,"Isso equivale a 1,98% dos eleitores do Brasil"
2010,1,1º turno,25,PB,Paraíba,Região Nordeste,Dilma (PT),José Serra (PSDB),Dilma,José Serra,PT,PSDB,2º turno,2º turno,1.031.185 votos,551.053 votos,1.937.986 votos,"53,21","28,43","+24,78 p.p.", +480.132 votos,3.091.684,"1,98%",1.98,A UF tem 3.091.684 eleitores em 2022,"Isso equivale a 1,98% dos eleitores do Brasil"
2014,2,2º turno,25,PB,Paraíba,Região Nordeste,Dilma (PT),Aécio Neves (PSDB),Dilma,Aécio Neves,PT,PSDB,Eleito,Não eleito,1.381.305 votos,768.475 votos,2.149.780 votos,"64,25","35,75","+28,5 p.p.", +612.830 votos,3.091.684,"1,98%",1.98,A UF tem 3.091.684 eleitores em 2022,"Isso equivale a 1,98% dos eleitores do Brasil"
2014,1,1º turno,25,PB,Paraíba,Região Nordeste,Dilma (PT),Aécio Neves (PSDB),Dilma,Aécio Neves,PT,PSDB,2º turno,2º turno,1.166.860 votos,490.962 votos,2.098.811 votos,"55,6","23,39","+32,21 p.p.", +675.898 votos,3.091.684,"1,98%",1.98,A UF tem 3.091.684 eleitores em 2022,"Isso equivale a 1,98% dos eleitores do Brasil"
2018,1,1º turno,25,PB,Paraíba,Região Nordeste,Fernando Haddad (PT),Jair Bolsonaro (PSL),Fernando Haddad,Jair Bolsonaro,PT,PSL,2º turno,2º turno,984.398 votos,677.718 votos,2.165.544 votos,"45,46","31,3","+14,16 p.p.", +306.680 votos,3.091.684,"1,98%",1.98,A UF tem 3.091.684 eleitores em 2022,"Isso equivale a 1,98% dos eleitores do Brasil"
2018,2,2º turno,25,PB,Paraíba,Região Nordeste,Fernando Haddad (PT),Jair Bolsonaro (PSL),Fernando Haddad,Jair Bolsonaro,PT,PSL,Não eleito,Eleito,1.451.293 votos,782.143 votos,2.233.436 votos,"64,98","35,02","+29,96 p.p.", +669.150 votos,3.091.684,"1,98%",1.98,A UF tem 3.091.684 eleitores em 2022,"Isso equivale a 1,98% dos eleitores do Brasil"
2002,2,2º turno,26,PE,Pernambuco,Região Nordeste,Lula (PT),José Serra (PSDB),Lula,José Serra,PT,PSDB,Eleito,Não eleito,2.198.673 votos,1.654.132 votos,3.852.805 votos,"57,07","42,93","+14,14 p.p.", +544.541 votos,7.018.098,"4,49%",4.49,A UF tem 7.018.098 eleitores em 2022,"Isso equivale a 4,49% dos eleitores do Brasil"
2002,1,1º turno,26,PE,Pernambuco,Região Nordeste,Lula (PT),José Serra (PSDB),Lula,José Serra,PT,PSDB,2º turno,2º turno,1.657.476 votos,1.015.496 votos,3.569.322 votos,"46,44","28,45","+17,99 p.p.", +641.980 votos,7.018.098,"4,49%",4.49,A UF tem 7.018.098 eleitores em 2022,"Isso equivale a 4,49% dos eleitores do Brasil"
2006,1,1º turno,26,PE,Pernambuco,Região Nordeste,Lula (PT),Geraldo Alckmin (PSDB),Lula,Geraldo Alckmin,PT,PSDB,2º turno,2º turno,2.993.618 votos,964.730 votos,4.220.344 votos,"70,93","22,86","+48,07 p.p.", +2.028.888 votos,7.018.098,"4,49%",4.49,A UF tem 7.018.098 eleitores em 2022,"Isso equivale a 4,49% dos eleitores do Brasil"
2006,2,2º turno,26,PE,Pernambuco,Região Nordeste,Lula (PT),Geraldo Alckmin (PSDB),Lula,Geraldo Alckmin,PT,PSDB,Eleito,Não eleito,3.260.996 votos,894.062 votos,4.155.058 votos,"78,48","21,52","+56,96 p.p.", +2.366.934 votos,7.018.098,"4,49%",4.49,A UF tem 7.018.098 eleitores em 2022,"Isso equivale a 4,49% dos eleitores do Brasil"
2010,1,1º turno,26,PE,Pernambuco,Região Nordeste,Dilma (PT),José Serra (PSDB),Dilma,José Serra,PT,PSDB,2º turno,2º turno,2.748.751 votos,773.374 votos,4.451.932 votos,"61,74","17,37","+44,37 p.p.", +1.975.377 votos,7.018.098,"4,49%",4.49,A UF tem 7.018.098 eleitores em 2022,"Isso equivale a 4,49% dos eleitores do Brasil"
2010,2,2º turno,26,PE,Pernambuco,Região Nordeste,Dilma (PT),José Serra (PSDB),Dilma,José Serra,PT,PSDB,2º turno,2º turno,3.457.953 votos,1.113.235 votos,4.571.188 votos,"75,65","24,35","+51,3 p.p.", +2.344.718 votos,7.018.098,"4,49%",4.49,A UF tem 7.018.098 eleitores em 2022,"Isso equivale a 4,49% dos eleitores do Brasil"
2014,1,1º turno,26,PE,Pernambuco,Região Nordeste,Dilma (PT),Aécio Neves (PSDB),Dilma,Aécio Neves,PT,PSDB,2º turno,2º turno,2.127.010 votos,285.315 votos,4.810.876 votos,"44,21","5,93","+38,28 p.p.", +1.841.695 votos,7.018.098,"4,49%",4.49,A UF tem 7.018.098 eleitores em 2022,"Isso equivale a 4,49% dos eleitores do Brasil"
2014,2,2º turno,26,PE,Pernambuco,Região Nordeste,Dilma (PT),Aécio Neves (PSDB),Dilma,Aécio Neves,PT,PSDB,Eleito,Não eleito,3.438.829 votos,1.460.279 votos,4.899.108 votos,"70,19","29,81","+40,38 p.p.", +1.978.550 votos,7.018.098,"4,49%",4.49,A UF tem 7.018.098 eleitores em 2022,"Isso equivale a 4,49% dos eleitores do Brasil"
2018,2,2º turno,26,PE,Pernambuco,Região Nordeste,Fernando Haddad (PT),Jair Bolsonaro (PSL),Fernando Haddad,Jair Bolsonaro,PT,PSL,Não eleito,Eleito,3.297.944 votos,1.661.163 votos,4.959.107 votos,"66,5","33,5",+33 p.p., +1.636.781 votos,7.018.098,"4,49%",4.49,A UF tem 7.018.098 eleitores em 2022,"Isso equivale a 4,49% dos eleitores do Brasil"
2018,1,1º turno,26,PE,Pernambuco,Região Nordeste,Fernando Haddad (PT),Jair Bolsonaro (PSL),Fernando Haddad,Jair Bolsonaro,PT,PSL,2º turno,2º turno,2.309.104 votos,1.444.685 votos,4.725.216 votos,"48,87","30,57","+18,3 p.p.", +864.419 votos,7.018.098,"4,49%",4.49,A UF tem 7.018.098 eleitores em 2022,"Isso equivale a 4,49% dos eleitores do Brasil"
2002,1,1º turno,22,PI,Piauí,Região Nordeste,Lula (PT),José Serra (PSDB),Lula,José Serra,PT,PSDB,2º turno,2º turno,616.157 votos,358.986 votos,1.315.285 votos,"46,85","27,29","+19,56 p.p.", +257.171 votos,2.573.810,"1,65%",1.65,A UF tem 2.573.810 eleitores em 2022,"Isso equivale a 1,65% dos eleitores do Brasil"
2002,2,2º turno,22,PI,Piauí,Região Nordeste,Lula (PT),José Serra (PSDB),Lula,José Serra,PT,PSDB,Eleito,Não eleito,825.257 votos,533.603 votos,1.358.860 votos,"60,73","39,27","+21,46 p.p.", +291.654 votos,2.573.810,"1,65%",1.65,A UF tem 2.573.810 eleitores em 2022,"Isso equivale a 1,65% dos eleitores do Brasil"
2006,1,1º turno,22,PI,Piauí,Região Nordeste,Lula (PT),Geraldo Alckmin (PSDB),Lula,Geraldo Alckmin,PT,PSDB,2º turno,2º turno,1.055.600 votos,440.063 votos,1.568.953 votos,"67,28","28,05","+39,23 p.p.", +615.537 votos,2.573.810,"1,65%",1.65,A UF tem 2.573.810 eleitores em 2022,"Isso equivale a 1,65% dos eleitores do Brasil"
2006,2,2º turno,22,PI,Piauí,Região Nordeste,Lula (PT),Geraldo Alckmin (PSDB),Lula,Geraldo Alckmin,PT,PSDB,Eleito,Não eleito,1.216.842 votos,356.879 votos,1.573.721 votos,"77,32","22,68","+54,64 p.p.", +859.963 votos,2.573.810,"1,65%",1.65,A UF tem 2.573.810 eleitores em 2022,"Isso equivale a 1,65% dos eleitores do Brasil"
2010,2,2º turno,22,PI,Piauí,Região Nordeste,Dilma (PT),José Serra (PSDB),Dilma,José Serra,PT,PSDB,2º turno,2º turno,1.112.380 votos,477.092 votos,1.589.472 votos,"69,98","30,02","+39,96 p.p.", +635.288 votos,2.573.810,"1,65%",1.65,A UF tem 2.573.810 eleitores em 2022,"Isso equivale a 1,65% dos eleitores do Brasil"
2010,1,1º turno,22,PI,Piauí,Região Nordeste,Dilma (PT),José Serra (PSDB),Dilma,José Serra,PT,PSDB,2º turno,2º turno,1.088.205 votos,339.445 votos,1.622.041 votos,"67,09","20,93","+46,16 p.p.", +748.760 votos,2.573.810,"1,65%",1.65,A UF tem 2.573.810 eleitores em 2022,"Isso equivale a 1,65% dos eleitores do Brasil"
2014,2,2º turno,22,PI,Piauí,Região Nordeste,Dilma (PT),Aécio Neves (PSDB),Dilma,Aécio Neves,PT,PSDB,Eleito,Não eleito,1.385.265 votos,384.157 votos,1.769.422 votos,"78,29","21,71","+56,58 p.p.", +1.001.108 votos,2.573.810,"1,65%",1.65,A UF tem 2.573.810 eleitores em 2022,"Isso equivale a 1,65% dos eleitores do Brasil"
2014,1,1º turno,22,PI,Piauí,Região Nordeste,Dilma (PT),Aécio Neves (PSDB),Dilma,Aécio Neves,PT,PSDB,2º turno,2º turno,1.235.337 votos,242.256 votos,1.749.876 votos,"70,6","13,84","+56,76 p.p.", +993.081 votos,2.573.810,"1,65%",1.65,A UF tem 2.573.810 eleitores em 2022,"Isso equivale a 1,65% dos eleitores do Brasil"
2018,1,1º turno,22,PI,Piauí,Região Nordeste,Fernando Haddad (PT),Jair Bolsonaro (PSL),Fernando Haddad,Jair Bolsonaro,PT,PSL,2º turno,2º turno,1.172.147 votos,346.944 votos,1.848.943 votos,"63,4","18,76","+44,64 p.p.", +825.203 votos,2.573.810,"1,65%",1.65,A UF tem 2.573.810 eleitores em 2022,"Isso equivale a 1,65% dos eleitores do Brasil"
2018,2,2º turno,22,PI,Piauí,Região Nordeste,Fernando Haddad (PT),Jair Bolsonaro (PSL),Fernando Haddad,Jair Bolsonaro,PT,PSL,Não eleito,Eleito,1.417.113 votos,422.095 votos,1.839.208 votos,"77,05","22,95","+54,1 p.p.", +995.018 votos,2.573.810,"1,65%",1.65,A UF tem 2.573.810 eleitores em 2022,"Isso equivale a 1,65% dos eleitores do Brasil"
2002,1,1º turno,41,PR,Paraná,Região Sul,Lula (PT),José Serra (PSDB),Lula,José Serra,PT,PSDB,2º turno,2º turno,2.540.328 votos,1.367.384 votos,5.067.229 votos,"50,13","26,98","+23,15 p.p.", +1.172.944 votos,8.475.632,"5,42%",5.42,A UF tem 8.475.632 eleitores em 2022,"Isso equivale a 5,42% dos eleitores do Brasil"
2002,2,2º turno,41,PR,Paraná,Região Sul,Lula (PT),José Serra (PSDB),Lula,José Serra,PT,PSDB,Eleito,Não eleito,2.929.427 votos,2.017.198 votos,4.946.625 votos,"59,22","40,78","+18,44 p.p.", +912.229 votos,8.475.632,"5,42%",5.42,A UF tem 8.475.632 eleitores em 2022,"Isso equivale a 5,42% dos eleitores do Brasil"
2006,2,2º turno,41,PR,Paraná,Região Sul,Lula (PT),Geraldo Alckmin (PSDB),Lula,Geraldo Alckmin,PT,PSDB,Eleito,Não eleito,2.663.423 votos,2.744.697 votos,5.408.120 votos,"49,25","50,75","-1,5 p.p.",-81.274 votos,8.475.632,"5,42%",5.42,A UF tem 8.475.632 eleitores em 2022,"Isso equivale a 5,42% dos eleitores do Brasil"
2006,1,1º turno,41,PR,Paraná,Região Sul,Lula (PT),Geraldo Alckmin (PSDB),Lula,Geraldo Alckmin,PT,PSDB,2º turno,2º turno,2.111.589 votos,2.953.572 votos,5.571.418 votos,"37,9","53,01","-15,11 p.p.",-841.983 votos,8.475.632,"5,42%",5.42,A UF tem 8.475.632 eleitores em 2022,"Isso equivale a 5,42% dos eleitores do Brasil"
2010,1,1º turno,41,PR,Paraná,Região Sul,Dilma (PT),José Serra (PSDB),Dilma,José Serra,PT,PSDB,2º turno,2º turno,2.311.239 votos,2.607.664 votos,5.935.001 votos,"38,94","43,94",-5 p.p.,-296.425 votos,8.475.632,"5,42%",5.42,A UF tem 8.475.632 eleitores em 2022,"Isso equivale a 5,42% dos eleitores do Brasil"
2010,2,2º turno,41,PR,Paraná,Região Sul,Dilma (PT),José Serra (PSDB),Dilma,José Serra,PT,PSDB,2º turno,2º turno,2.593.086 votos,3.226.216 votos,5.819.302 votos,"44,56","55,44","-10,88 p.p.",-633.130 votos,8.475.632,"5,42%",5.42,A UF tem 8.475.632 eleitores em 2022,"Isso equivale a 5,42% dos eleitores do Brasil"
2014,1,1º turno,41,PR,Paraná,Região Sul,Dilma (PT),Aécio Neves (PSDB),Dilma,Aécio Neves,PT,PSDB,2º turno,2º turno,1.973.421 votos,3.021.988 votos,6.067.868 votos,"32,52","49,8","-17,28 p.p.",-1.048.567 votos,8.475.632,"5,42%",5.42,A UF tem 8.475.632 eleitores em 2022,"Isso equivale a 5,42% dos eleitores do Brasil"
2014,2,2º turno,41,PR,Paraná,Região Sul,Dilma (PT),Aécio Neves (PSDB),Dilma,Aécio Neves,PT,PSDB,Eleito,Não eleito,2.409.677 votos,3.769.054 votos,6.178.731 votos,39,61,-22 p.p.,-1.359.377 votos,8.475.632,"5,42%",5.42,A UF tem 8.475.632 eleitores em 2022,"Isso equivale a 5,42% dos eleitores do Brasil"
2018,2,2º turno,41,PR,Paraná,Região Sul,Fernando Haddad (PT),Jair Bolsonaro (PSL),Fernando Haddad,Jair Bolsonaro,PT,PSL,Não eleito,Eleito,1.948.790 votos,4.224.416 votos,6.173.206 votos,"31,57","68,43","-36,86 p.p.",-2.275.626 votos,8.475.632,"5,42%",5.42,A UF tem 8.475.632 eleitores em 2022,"Isso equivale a 5,42% dos eleitores do Brasil"
2018,1,1º turno,41,PR,Paraná,Região Sul,Fernando Haddad (PT),Jair Bolsonaro (PSL),Fernando Haddad,Jair Bolsonaro,PT,PSL,2º turno,2º turno,1.210.974 votos,3.496.448 votos,6.145.689 votos,"19,7","56,89","-37,19 p.p.",-2.285.474 votos,8.475.632,"5,42%",5.42,A UF tem 8.475.632 eleitores em 2022,"Isso equivale a 5,42% dos eleitores do Brasil"
2002,1,1º turno,33,RJ,Rio de Janeiro,Região Sudeste,Lula (PT),José Serra (PSDB),Lula,José Serra,PT,PSDB,2º turno,2º turno,3.284.258 votos,721.081 votos,8.176.005 votos,"40,17","8,82","+31,35 p.p.", +2.563.177 votos,12.827.296,"8,20%",8.20,A UF tem 12.827.296 eleitores em 2022,"Isso equivale a 8,20% dos eleitores do Brasil"
2002,2,2º turno,33,RJ,Rio de Janeiro,Região Sudeste,Lula (PT),José Serra (PSDB),Lula,José Serra,PT,PSDB,Eleito,Não eleito,6.318.104 votos,1.682.472 votos,8.000.576 votos,"78,97","21,03","+57,94 p.p.", +4.635.632 votos,12.827.296,"8,20%",8.20,A UF tem 12.827.296 eleitores em 2022,"Isso equivale a 8,20% dos eleitores do Brasil"
2006,1,1º turno,33,RJ,Rio de Janeiro,Região Sudeste,Lula (PT),Geraldo Alckmin (PSDB),Lula,Geraldo Alckmin,PT,PSDB,2º turno,2º turno,4.092.648 votos,2.402.076 votos,8.322.533 votos,"49,18","28,86","+20,32 p.p.", +1.690.572 votos,12.827.296,"8,20%",8.20,A UF tem 12.827.296 eleitores em 2022,"Isso equivale a 8,20% dos eleitores do Brasil"
2006,2,2º turno,33,RJ,Rio de Janeiro,Região Sudeste,Lula (PT),Geraldo Alckmin (PSDB),Lula,Geraldo Alckmin,PT,PSDB,Eleito,Não eleito,5.532.284 votos,2.406.487 votos,7.938.771 votos,"69,69","30,31","+39,38 p.p.", +3.125.797 votos,12.827.296,"8,20%",8.20,A UF tem 12.827.296 eleitores em 2022,"Isso equivale a 8,20% dos eleitores do Brasil"
2010,2,2º turno,33,RJ,Rio de Janeiro,Região Sudeste,Dilma (PT),José Serra (PSDB),Dilma,José Serra,PT,PSDB,2º turno,2º turno,4.934.077 votos,3.223.891 votos,8.157.968 votos,"60,48","39,52","+20,96 p.p.", +1.710.186 votos,12.827.296,"8,20%",8.20,A UF tem 12.827.296 eleitores em 2022,"Isso equivale a 8,20% dos eleitores do Brasil"
2010,1,1º turno,33,RJ,Rio de Janeiro,Região Sudeste,Dilma (PT),José Serra (PSDB),Dilma,José Serra,PT,PSDB,2º turno,2º turno,3.739.632 votos,1.925.166 votos,8.545.075 votos,"43,76","22,53","+21,23 p.p.", +1.814.466 votos,12.827.296,"8,20%",8.20,A UF tem 12.827.296 eleitores em 2022,"Isso equivale a 8,20% dos eleitores do Brasil"
2014,1,1º turno,33,RJ,Rio de Janeiro,Região Sudeste,Dilma (PT),Aécio Neves (PSDB),Dilma,Aécio Neves,PT,PSDB,2º turno,2º turno,2.971.736 votos,2.249.662 votos,8.346.514 votos,"35,6","26,95","+8,65 p.p.", +722.074 votos,12.827.296,"8,20%",8.20,A UF tem 12.827.296 eleitores em 2022,"Isso equivale a 8,20% dos eleitores do Brasil"
2014,2,2º turno,33,RJ,Rio de Janeiro,Região Sudeste,Dilma (PT),Aécio Neves (PSDB),Dilma,Aécio Neves,PT,PSDB,Eleito,Não eleito,4.489.860 votos,3.685.122 votos,8.174.982 votos,"54,92","45,08","+9,84 p.p.", +804.738 votos,12.827.296,"8,20%",8.20,A UF tem 12.827.296 eleitores em 2022,"Isso equivale a 8,20% dos eleitores do Brasil"
2018,2,2º turno,33,RJ,Rio de Janeiro,Região Sudeste,Fernando Haddad (PT),Jair Bolsonaro (PSL),Fernando Haddad,Jair Bolsonaro,PT,PSL,Não eleito,Eleito,2.673.386 votos,5.669.059 votos,8.342.445 votos,"32,05","67,95","-35,9 p.p.",-2.995.673 votos,12.827.296,"8,20%",8.20,A UF tem 12.827.296 eleitores em 2022,"Isso equivale a 8,20% dos eleitores do Brasil"
2018,1,1º turno,33,RJ,Rio de Janeiro,Região Sudeste,Fernando Haddad (PT),Jair Bolsonaro (PSL),Fernando Haddad,Jair Bolsonaro,PT,PSL,2º turno,2º turno,1.255.425 votos,5.107.735 votos,8.543.393 votos,"14,69","59,79","-45,1 p.p.",-3.852.310 votos,12.827.296,"8,20%",8.20,A UF tem 12.827.296 eleitores em 2022,"Isso equivale a 8,20% dos eleitores do Brasil"
2002,2,2º turno,24,RN,Rio Grande do Norte,Região Nordeste,Lula (PT),José Serra (PSDB),Lula,José Serra,PT,PSDB,Eleito,Não eleito,781.947 votos,551.628 votos,1.333.575 votos,"58,64","41,36","+17,28 p.p.", +230.319 votos,2.554.727,"1,63%",1.63,A UF tem 2.554.727 eleitores em 2022,"Isso equivale a 1,63% dos eleitores do Brasil"
2002,1,1º turno,24,RN,Rio Grande do Norte,Região Nordeste,Lula (PT),José Serra (PSDB),Lula,José Serra,PT,PSDB,2º turno,2º turno,581.544 votos,296.856 votos,1.331.410 votos,"43,68","22,3","+21,38 p.p.", +284.688 votos,2.554.727,"1,63%",1.63,A UF tem 2.554.727 eleitores em 2022,"Isso equivale a 1,63% dos eleitores do Brasil"
2006,1,1º turno,24,RN,Rio Grande do Norte,Região Nordeste,Lula (PT),Geraldo Alckmin (PSDB),Lula,Geraldo Alckmin,PT,PSDB,2º turno,2º turno,952.796 votos,499.934 votos,1.583.545 votos,"60,17","31,57","+28,6 p.p.", +452.862 votos,2.554.727,"1,63%",1.63,A UF tem 2.554.727 eleitores em 2022,"Isso equivale a 1,63% dos eleitores do Brasil"
2006,2,2º turno,24,RN,Rio Grande do Norte,Região Nordeste,Lula (PT),Geraldo Alckmin (PSDB),Lula,Geraldo Alckmin,PT,PSDB,Eleito,Não eleito,1.099.150 votos,477.212 votos,1.576.362 votos,"69,73","30,27","+39,46 p.p.", +621.938 votos,2.554.727,"1,63%",1.63,A UF tem 2.554.727 eleitores em 2022,"Isso equivale a 1,63% dos eleitores do Brasil"
2010,2,2º turno,24,RN,Rio Grande do Norte,Região Nordeste,Dilma (PT),José Serra (PSDB),Dilma,José Serra,PT,PSDB,2º turno,2º turno,979.772 votos,665.726 votos,1.645.498 votos,"59,54","40,46","+19,08 p.p.", +314.046 votos,2.554.727,"1,63%",1.63,A UF tem 2.554.727 eleitores em 2022,"Isso equivale a 1,63% dos eleitores do Brasil"
2010,1,1º turno,24,RN,Rio Grande do Norte,Região Nordeste,Dilma (PT),José Serra (PSDB),Dilma,José Serra,PT,PSDB,2º turno,2º turno,846.416 votos,460.107 votos,1.635.163 votos,"51,76","28,14","+23,62 p.p.", +386.309 votos,2.554.727,"1,63%",1.63,A UF tem 2.554.727 eleitores em 2022,"Isso equivale a 1,63% dos eleitores do Brasil"
2014,1,1º turno,24,RN,Rio Grande do Norte,Região Nordeste,Dilma (PT),Aécio Neves (PSDB),Dilma,Aécio Neves,PT,PSDB,2º turno,2º turno,999.625 votos,330.264 votos,1.664.918 votos,"60,04","19,84","+40,2 p.p.", +669.361 votos,2.554.727,"1,63%",1.63,A UF tem 2.554.727 eleitores em 2022,"Isso equivale a 1,63% dos eleitores do Brasil"
2014,2,2º turno,24,RN,Rio Grande do Norte,Região Nordeste,Dilma (PT),Aécio Neves (PSDB),Dilma,Aécio Neves,PT,PSDB,Eleito,Não eleito,1.201.768 votos,516.487 votos,1.718.255 votos,"69,94","30,06","+39,88 p.p.", +685.281 votos,2.554.727,"1,63%",1.63,A UF tem 2.554.727 eleitores em 2022,"Isso equivale a 1,63% dos eleitores do Brasil"
2018,1,1º turno,24,RN,Rio Grande do Norte,Região Nordeste,Fernando Haddad (PT),Jair Bolsonaro (PSL),Fernando Haddad,Jair Bolsonaro,PT,PSL,2º turno,2º turno,738.165 votos,541.448 votos,1.792.253 votos,"41,19","30,21","+10,98 p.p.", +196.717 votos,2.554.727,"1,63%",1.63,A UF tem 2.554.727 eleitores em 2022,"Isso equivale a 1,63% dos eleitores do Brasil"
